LSOA code,All usual residents aged 16+,Never worked and long term unemployed
E01000412,1379,66
E01000413,1091,67
E01000414,1538,119
E01000415,1230,79
E01000416,1310,183
E01000417,1387,110
E01000418,1526,150
E01000419,1237,110
E01000420,1230,88
E01000421,1283,96
E01000422,974,130
E01000423,1299,78
E01000424,1499,83
E01000425,1464,134
E01000426,1357,80
E01000427,1657,103
E01000428,1558,159
E01000429,1227,158
E01000430,1528,136
E01000431,913,103
E01000433,1438,189
E01000434,1223,149
E01000435,1144,117
E01000436,1398,91
E01000437,1110,71
E01000438,1274,105
E01000439,1095,114
E01000440,1182,86
E01000441,1328,164
E01000442,1366,100
E01000443,1050,87
E01000444,1367,83
E01000445,1357,65
E01000446,1220,54
E01000447,1585,90
E01000448,1117,41
E01000449,1298,92
E01000450,1392,101
E01000451,1418,92
E01000452,1154,69
E01000453,1186,61
E01000454,1324,127
E01000455,1469,118
E01000456,1129,89
E01000457,1831,126
E01000458,1298,80
E01000459,1583,121
E01000460,1031,38
E01000461,1329,61
E01000462,1762,129
E01000463,1010,50
E01000464,1185,144
E01000465,1290,176
E01000466,1291,137
E01000467,1263,149
E01000468,2100,222
E01000469,1293,104
E01000470,968,155
E01000471,1449,187
E01000472,1871,207
E01000473,2189,353
E01000474,1865,286
E01000475,1705,270
E01000476,1827,259
E01000477,1883,266
E01000478,2023,294
E01000479,1458,221
E01000480,1403,171
E01000481,1261,156
E01000483,1426,216
E01000484,1418,258
E01000485,1328,240
E01000486,1382,164
E01000487,1627,242
E01000488,1370,168
E01000489,1447,208
E01000490,1516,181
E01000491,1705,193
E01000492,1022,96
E01000493,1302,107
E01000494,1475,252
E01000495,1364,169
E01000497,1788,252
E01000498,1259,252
E01000499,1446,241
E01000501,1561,248
E01000502,1393,250
E01000503,1670,223
E01000504,1445,157
E01000505,1352,205
E01000506,1325,200
E01000507,1329,159
E01000508,1836,307
E01000509,1162,216
E01000510,1309,233
E01000511,1334,173
E01000512,1409,143
E01000513,1361,142
E01000514,1263,138
E01000515,1464,210
E01000516,1900,186
E01000517,1341,134
E01000518,1590,195
E01000519,1618,205
E01000520,1340,179
E01000521,1801,336
E01000522,1526,241
E01000523,1748,253
E01000524,1907,281
E01000525,1451,172
E01000526,1718,347
E01000527,1440,237
E01000528,1356,223
E01000530,1469,109
E01000531,1500,231
E01000532,1249,107
E01000533,1728,311
E01000534,1397,108
E01000535,1671,205
E01000536,1302,159
E01000538,1275,128
E01000539,1293,144
E01000540,1239,117
E01000541,1162,146
E01000543,1347,172
E01000544,1418,180
E01000545,1624,191
E01000546,1393,183
E01000547,1344,121
E01000548,1700,191
E01000549,1558,111
E01000550,1688,264
E01000551,2307,342
E01000552,1150,179
E01000553,1684,214
E01000554,1552,190
E01000555,1291,167
E01000556,1802,274
E01000557,1578,217
E01000558,1145,143
E01000559,1234,140
E01000560,1316,119
E01000561,1612,185
E01000562,1283,132
E01000563,1371,139
E01000564,1255,141
E01000565,1224,181
E01000566,1289,129
E01000567,1119,137
E01000568,1965,130
E01000569,1268,133
E01000570,1336,174
E01000571,1529,236
E01000572,1181,122
E01000573,1362,158
E01000574,1332,117
E01000575,1753,160
E01000576,1563,183
E01000577,1910,269
E01000578,1836,309
E01000579,1325,103
E01000580,1650,140
E01000581,1197,95
E01000582,1423,64
E01000583,1728,125
E01000584,1257,93
E01000585,1209,90
E01000586,1995,155
E01000587,1359,157
E01000589,2095,246
E01000590,1599,165
E01000591,1787,222
E01000592,1509,158
E01000593,1728,226
E01000594,1496,146
E01000595,1264,236
E01000596,1345,289
E01000599,1498,268
E01000601,1081,250
E01000602,1168,206
E01000603,1091,197
E01000604,1350,239
E01000605,1393,278
E01000606,1528,201
E01000607,2105,242
E01000608,1874,261
E01000609,1667,196
E01000610,1754,236
E01000611,1538,174
E01000612,1430,191
E01000613,1395,214
E01000615,2750,204
E01000616,1630,147
E01000617,1895,251
E01000618,1382,186
E01000619,1356,184
E01000620,1490,230
E01000621,1481,174
E01000622,1421,189
E01000623,1513,188
E01000624,1430,182
E01000625,1375,236
E01000626,1203,217
E01000627,1663,251
E01000628,1469,258
E01000629,1609,166
E01000630,2227,333
E01000631,1715,245
E01000632,2054,308
E01000633,2040,354
E01000634,2098,285
E01000636,2107,242
E01000637,1253,162
E01000638,1658,207
E01000639,1440,155
E01000640,1732,311
E01000641,1509,244
E01000642,1928,205
E01000643,1776,353
E01000644,1604,198
E01000645,1171,45
E01000646,1484,79
E01000647,1309,57
E01000648,1501,86
E01000649,1649,90
E01000650,1473,101
E01000651,1392,73
E01000652,1397,65
E01000653,1257,77
E01000654,1025,39
E01000655,1062,66
E01000656,1250,56
E01000657,1290,72
E01000658,1166,56
E01000659,1163,41
E01000661,2104,238
E01000662,1416,109
E01000663,1315,117
E01000664,1303,95
E01000665,1505,110
E01000666,1618,85
E01000667,1387,78
E01000668,1766,119
E01000669,1392,54
E01000670,1602,99
E01000671,1830,124
E01000672,1357,79
E01000673,1286,54
E01000674,1383,104
E01000676,1680,135
E01000677,1469,78
E01000678,1452,73
E01000679,1376,66
E01000680,1404,62
E01000681,1385,53
E01000682,1291,80
E01000683,1349,109
E01000684,1611,66
E01000685,1281,79
E01000686,1199,70
E01000687,1305,63
E01000688,1116,56
E01000689,1243,120
E01000690,1101,61
E01000691,1228,79
E01000692,1322,70
E01000693,1302,89
E01000694,1817,100
E01000695,1240,59
E01000696,1366,78
E01000697,1456,71
E01000698,978,46
E01000699,1173,86
E01000700,1223,77
E01000701,1137,53
E01000702,1166,50
E01000703,1338,60
E01000704,1185,81
E01000705,1101,101
E01000706,1099,76
E01000707,1095,35
E01000708,1327,61
E01000709,1178,71
E01000710,1993,80
E01000711,1618,88
E01000712,1538,81
E01000713,1551,61
E01000714,1809,107
E01000715,1509,89
E01000716,1381,78
E01000717,1432,63
E01000718,1634,139
E01000719,1577,143
E01000720,1336,154
E01000721,1181,155
E01000722,1478,149
E01000723,1074,60
E01000724,1253,136
E01000725,1412,148
E01000726,1099,83
E01000727,1393,76
E01000728,1327,124
E01000729,1441,172
E01000730,1337,158
E01000731,1074,84
E01000732,1212,88
E01000733,1316,99
E01000734,1068,69
E01000735,1190,128
E01000736,1294,121
E01000737,1096,128
E01000738,1368,121
E01000739,1253,176
E01000741,1551,123
E01000742,1761,130
E01000743,1570,195
E01000744,1256,188
E01000745,1531,109
E01000746,1663,99
E01000747,1620,115
E01000748,1474,89
E01000749,1393,79
E01000750,1188,131
E01000751,1765,111
E01000752,1446,108
E01000753,1549,60
E01000754,1413,58
E01000755,1311,55
E01000756,1389,98
E01000757,1298,45
E01000758,1166,46
E01000759,1330,66
E01000760,1325,80
E01000761,1244,66
E01000762,1398,69
E01000763,1170,43
E01000764,1423,108
E01000765,1423,78
E01000766,1416,49
E01000767,1308,66
E01000768,1222,54
E01000769,1129,136
E01000770,1288,70
E01000771,1322,54
E01000772,1348,79
E01000773,1244,33
E01000774,1176,65
E01000775,1817,107
E01000777,1258,56
E01000778,1303,89
E01000779,1149,83
E01000780,1279,120
E01000781,1183,128
E01000782,1176,146
E01000783,1226,114
E01000784,1208,66
E01000785,1201,109
E01000786,1257,70
E01000787,1226,134
E01000788,1297,94
E01000789,1310,182
E01000790,1949,125
E01000791,1274,85
E01000792,1167,72
E01000793,1305,53
E01000794,1284,77
E01000795,1081,95
E01000796,1190,146
E01000797,1309,73
E01000798,1273,161
E01000799,1435,115
E01000800,1365,129
E01000801,1231,98
E01000802,1504,91
E01000803,1333,103
E01000804,1167,56
E01000805,1380,99
E01000806,1335,127
E01000807,1282,60
E01000808,1252,74
E01000809,1248,62
E01000810,1226,45
E01000811,1064,39
E01000812,1323,93
E01000813,1244,62
E01000814,1249,43
E01000815,1215,39
E01000816,1242,90
E01000818,1391,70
E01000819,1479,135
E01000820,1291,111
E01000822,1253,93
E01000823,1363,85
E01000824,1121,68
E01000825,1350,104
E01000826,1311,56
E01000827,1429,75
E01000828,1368,82
E01000829,1390,65
E01000830,1274,59
E01000831,1392,82
E01000832,1259,60
E01000833,1173,45
E01000834,1063,48
E01000835,1426,70
E01000836,1083,35
E01000837,1247,72
E01000838,1180,58
E01000839,1167,56
E01000840,1309,95
E01000841,1403,77
E01000842,1223,58
E01000843,1042,51
E01000844,1332,67
E01000845,1228,74
E01000846,1149,152
E01000847,1288,151
E01000848,1241,69
E01000849,1182,42
E01000850,1349,49
E01000851,1400,54
E01000853,1237,191
E01000855,1222,96
E01000856,1361,162
E01000857,1177,88
E01000858,1649,222
E01000859,1230,65
E01000860,973,95
E01000861,1258,104
E01000862,1414,61
E01000863,1325,98
E01000866,1638,180
E01000867,1507,207
E01000868,1365,178
E01000869,1689,135
E01000870,1345,136
E01000871,1337,121
E01000872,1491,145
E01000873,1320,67
E01000874,1210,71
E01000875,1381,115
E01000876,1605,195
E01000877,1218,77
E01000878,1361,151
E01000879,1065,56
E01000880,1130,57
E01000881,1130,77
E01000882,1184,35
E01000883,1303,82
E01000884,1155,69
E01000885,1048,63
E01000886,1138,53
E01000887,1205,86
E01000888,1195,96
E01000889,1436,249
E01000890,1046,206
E01000891,1208,191
E01000892,1493,140
E01000893,1182,44
E01000894,1019,40
E01000895,1327,108
E01000896,1185,40
E01000897,1200,34
E01000898,1360,128
E01000899,1292,55
E01000900,1421,166
E01000901,1485,228
E01000902,1146,172
E01000903,1190,121
E01000904,1768,226
E01000905,1502,243
E01000906,1253,76
E01000907,1193,147
E01000908,1307,147
E01000909,1307,73
E01000910,1117,43
E01000911,1194,119
E01000912,1344,162
E01000913,1389,86
E01000914,1307,88
E01000915,1250,178
E01000916,1664,156
E01000917,1352,256
E01000918,1659,135
E01000919,1320,126
E01000920,1464,136
E01000921,1629,93
E01000922,1658,226
E01000923,1240,102
E01000924,1367,99
E01000925,1172,170
E01000926,1231,113
E01000927,1325,116
E01000928,1437,117
E01000929,1497,258
E01000930,1727,324
E01000931,1678,289
E01000932,1579,122
E01000933,1513,150
E01000934,1259,213
E01000935,1271,176
E01000937,1044,56
E01000938,1190,160
E01000939,1232,228
E01000941,981,167
E01000942,957,59
E01000943,1538,76
E01000944,1234,210
E01000946,1299,146
E01000947,1499,144
E01000948,1303,122
E01000949,1306,158
E01000951,1205,214
E01000952,1415,192
E01000954,1309,216
E01000955,1090,181
E01000956,1231,206
E01000957,1158,133
E01000958,2544,237
E01000959,1437,212
E01000960,1564,124
E01000961,1441,211
E01000962,1342,48
E01000963,1544,215
E01000964,1452,138
E01000965,1433,121
E01000966,1340,50
E01000967,1234,115
E01000968,1294,80
E01000969,1614,70
E01000970,1277,78
E01000971,1082,57
E01000972,1695,207
E01000973,2225,200
E01000974,1385,197
E01000975,1922,113
E01000976,1702,154
E01000977,1612,227
E01000978,1441,125
E01000979,1460,99
E01000980,1171,120
E01000981,1368,92
E01000982,1302,97
E01000983,1511,82
E01000984,1493,187
E01000985,1206,95
E01000986,1459,102
E01000987,1134,59
E01000989,1416,99
E01000990,1153,168
E01000991,1497,108
E01000992,1515,174
E01000993,1288,68
E01000994,1273,138
E01000995,1323,168
E01000996,1099,108
E01000997,1223,163
E01000998,1186,140
E01000999,1071,130
E01001000,1072,139
E01001001,1103,136
E01001002,1151,130
E01001003,1221,140
E01001004,1680,190
E01001005,1342,160
E01001006,1340,138
E01001007,1558,181
E01001008,1252,198
E01001009,1534,201
E01001010,1331,194
E01001011,1741,244
E01001012,1626,219
E01001013,1634,309
E01001015,1145,99
E01001016,1408,104
E01001017,1340,59
E01001018,1332,61
E01001019,1215,76
E01001020,1281,78
E01001021,1043,105
E01001022,1257,51
E01001023,1998,151
E01001024,1087,63
E01001025,1070,50
E01001026,1423,105
E01001027,2156,101
E01001028,1379,106
E01001029,1422,165
E01001030,1179,70
E01001031,1201,46
E01001032,1237,93
E01001033,1351,96
E01001034,1304,71
E01001035,1524,141
E01001036,1369,139
E01001037,1205,100
E01001038,1557,90
E01001039,1230,66
E01001040,1364,91
E01001041,1357,117
E01001042,1730,160
E01001044,1663,152
E01001046,1476,115
E01001047,1411,111
E01001049,1199,96
E01001050,1394,141
E01001051,1148,173
E01001052,1092,169
E01001053,1231,152
E01001054,1366,174
E01001055,1217,187
E01001056,1220,168
E01001057,1180,158
E01001058,1069,53
E01001059,1130,60
E01001060,1247,82
E01001061,1318,110
E01001062,1292,156
E01001063,1257,68
E01001064,1357,89
E01001065,1136,66
E01001066,1115,144
E01001067,1337,70
E01001068,1460,69
E01001069,1101,48
E01001070,1402,99
E01001071,1517,80
E01001072,1261,63
E01001073,1167,89
E01001074,1532,123
E01001075,1289,80
E01001076,1211,149
E01001077,1079,77
E01001078,1102,123
E01001079,1262,155
E01001080,1151,207
E01001081,1114,127
E01001082,1202,120
E01001083,1353,141
E01001084,1617,148
E01001085,1409,140
E01001086,1460,174
E01001087,2241,282
E01001088,1361,122
E01001089,1433,162
E01001090,1788,190
E01001091,1322,112
E01001092,1618,206
E01001093,1440,115
E01001094,1369,92
E01001095,1161,100
E01001096,1205,68
E01001097,1963,213
E01001098,1192,66
E01001099,1215,99
E01001100,1240,63
E01001101,1145,54
E01001102,1230,84
E01001103,1346,94
E01001104,1370,76
E01001105,1375,97
E01001106,1224,76
E01001107,1358,99
E01001108,1425,60
E01001109,1805,228
E01001110,1625,188
E01001111,1392,128
E01001112,1550,193
E01001113,1582,165
E01001114,1130,138
E01001115,1366,192
E01001116,1178,132
E01001118,1660,237
E01001119,1170,80
E01001120,1090,84
E01001121,1128,64
E01001122,1190,64
E01001123,1342,67
E01001124,1326,68
E01001125,1319,97
E01001126,1178,65
E01001127,1358,93
E01001128,1189,169
E01001129,1186,68
E01001130,1173,171
E01001131,1207,72
E01001132,1348,98
E01001133,1397,112
E01001134,1343,84
E01001135,1397,99
E01001136,1668,156
E01001137,1719,137
E01001138,1211,86
E01001139,1353,90
E01001140,1322,95
E01001141,1023,97
E01001142,1561,125
E01001143,1525,157
E01001144,1460,162
E01001145,1383,182
E01001146,1244,128
E01001147,1358,178
E01001148,1429,113
E01001149,1216,111
E01001150,1367,105
E01001151,1405,216
E01001152,1607,195
E01001153,1364,142
E01001154,1566,138
E01001155,1426,304
E01001156,1435,157
E01001157,1447,165
E01001158,1207,95
E01001159,1524,123
E01001160,1555,146
E01001161,1421,228
E01001162,1441,130
E01001163,1603,131
E01001164,1675,109
E01001165,1478,124
E01001166,1512,200
E01001167,1816,139
E01001168,1478,90
E01001169,1356,161
E01001170,1538,163
E01001171,1408,212
E01001172,1623,225
E01001173,2157,195
E01001174,1319,190
E01001175,1274,212
E01001176,1432,226
E01001177,1318,173
E01001178,1213,261
E01001179,1271,157
E01001180,1502,163
E01001181,1525,227
E01001182,1127,143
E01001183,1370,194
E01001184,1079,120
E01001185,1361,129
E01001186,1375,160
E01001187,1586,118
E01001188,1528,198
E01001189,966,52
E01001190,1229,101
E01001191,1585,199
E01001192,1258,110
E01001193,1437,193
E01001194,1268,82
E01001195,1411,179
E01001196,1288,189
E01001197,1452,177
E01001198,1261,108
E01001199,1368,153
E01001200,1295,87
E01001201,1322,104
E01001202,1947,255
E01001203,1421,193
E01001204,1324,108
E01001205,1358,207
E01001206,1127,223
E01001207,1458,83
E01001208,1100,69
E01001209,1352,80
E01001210,1442,288
E01001211,1411,100
E01001212,1498,100
E01001213,1643,359
E01001214,1437,240
E01001215,1643,368
E01001216,1325,273
E01001217,1189,166
E01001218,1581,303
E01001219,1694,338
E01001220,1161,245
E01001223,1216,82
E01001224,1289,63
E01001225,1531,127
E01001226,1282,94
E01001227,1275,87
E01001228,1602,92
E01001229,1241,140
E01001230,1175,80
E01001231,1767,126
E01001232,1298,149
E01001233,1212,111
E01001234,1190,88
E01001235,1539,104
E01001236,1277,90
E01001237,1382,128
E01001239,1231,161
E01001240,1605,218
E01001241,1572,177
E01001242,1312,138
E01001243,1933,216
E01001244,2248,277
E01001245,1717,144
E01001246,1533,168
E01001247,1878,223
E01001248,1320,171
E01001249,1980,269
E01001250,1762,269
E01001251,1422,107
E01001252,1968,202
E01001253,1649,127
E01001254,1383,114
E01001255,1214,72
E01001257,1668,261
E01001258,1458,157
E01001259,1268,153
E01001260,1658,201
E01001261,1879,246
E01001262,1291,216
E01001263,1497,235
E01001264,1452,182
E01001265,1386,148
E01001266,1544,167
E01001267,1614,233
E01001268,1559,160
E01001269,1806,122
E01001270,1429,135
E01001271,1506,142
E01001272,1420,121
E01001273,1375,127
E01001274,1216,138
E01001275,1555,111
E01001276,1483,196
E01001277,1613,161
E01001278,1632,225
E01001279,1193,65
E01001280,1426,152
E01001281,1242,103
E01001282,1264,190
E01001283,1439,204
E01001284,1318,110
E01001285,1389,182
E01001286,1289,134
E01001287,1229,215
E01001288,1135,104
E01001289,1055,64
E01001290,1645,101
E01001291,1391,181
E01001292,1385,181
E01001293,1422,222
E01001294,1618,293
E01001295,1470,219
E01001296,1168,175
E01001297,1459,280
E01001298,1769,329
E01001299,1405,67
E01001300,1241,72
E01001301,1580,148
E01001302,1282,65
E01001303,1339,79
E01001304,1317,76
E01001305,1361,65
E01001306,1281,45
E01001307,1508,103
E01001308,1668,173
E01001309,1505,132
E01001310,1747,180
E01001311,2054,260
E01001312,1608,153
E01001313,1438,160
E01001314,1239,124
E01001315,1185,128
E01001316,1331,203
E01001317,1667,216
E01001318,1521,206
E01001319,1274,122
E01001320,1208,174
E01001321,1823,276
E01001322,1642,211
E01001323,1565,194
E01001324,1269,171
E01001325,1516,236
E01001326,1424,202
E01001327,1522,202
E01001328,1394,200
E01001329,1473,217
E01001330,1370,232
E01001331,1295,234
E01001332,1206,219
E01001333,1936,422
E01001334,1269,320
E01001335,1490,187
E01001336,1512,263
E01001337,1723,216
E01001338,1512,268
E01001339,1712,271
E01001340,1264,221
E01001341,1444,169
E01001342,1568,196
E01001343,1202,145
E01001344,1830,220
E01001345,1437,168
E01001346,1540,148
E01001347,1684,230
E01001348,1334,157
E01001349,1167,169
E01001350,1223,89
E01001351,1611,205
E01001352,1350,97
E01001353,1197,125
E01001354,1773,223
E01001355,1660,153
E01001356,1118,226
E01001357,2213,224
E01001358,1576,171
E01001359,1952,417
E01001360,1852,329
E01001361,1780,393
E01001362,2002,411
E01001363,1503,303
E01001364,1460,366
E01001365,2074,389
E01001366,1573,333
E01001367,2064,451
E01001368,1440,297
E01001369,1616,363
E01001370,1722,298
E01001371,1767,394
E01001372,1953,384
E01001373,1635,342
E01001374,1612,93
E01001375,1365,48
E01001376,1388,134
E01001377,1357,80
E01001379,1391,50
E01001380,1942,90
E01001381,1528,108
E01001382,1180,61
E01001383,1436,96
E01001384,1409,96
E01001385,1326,63
E01001386,1491,62
E01001387,1333,88
E01001388,1176,162
E01001389,1519,211
E01001390,1522,105
E01001391,1497,151
E01001392,1539,116
E01001393,1614,131
E01001394,1677,265
E01001395,1326,188
E01001396,1243,150
E01001397,1671,249
E01001398,1067,59
E01001399,1215,84
E01001400,1332,157
E01001401,1095,113
E01001402,1554,135
E01001403,1382,175
E01001404,1180,150
E01001405,1540,218
E01001406,1309,142
E01001407,1257,100
E01001408,1286,82
E01001409,1529,178
E01001410,1622,266
E01001411,1442,91
E01001412,1419,136
E01001413,1316,116
E01001414,1274,175
E01001415,1637,153
E01001416,1402,115
E01001417,1557,117
E01001418,1433,148
E01001419,1603,192
E01001420,1415,175
E01001421,1316,182
E01001422,1401,95
E01001423,1345,221
E01001424,925,189
E01001425,1463,310
E01001426,1392,270
E01001427,1319,290
E01001428,1332,206
E01001429,1781,402
E01001430,1425,313
E01001431,1327,237
E01001432,1475,260
E01001433,1353,235
E01001434,1205,158
E01001435,1183,156
E01001436,1472,185
E01001437,1684,318
E01001438,1274,218
E01001439,1555,279
E01001440,1276,200
E01001441,1221,219
E01001442,1289,261
E01001444,1395,176
E01001445,2030,259
E01001446,1437,179
E01001447,1513,267
E01001448,1446,203
E01001449,1252,166
E01001450,1909,191
